Specialty_Dist_Rep,Common_Grp_Id,Common_Grp_Desc,Common_Entity_Id,Common_Entity_Desc,Customer_No,Customer_Name,Active_Status,Primary_Secondary,Cmpny_Cd,Sales_Org,Dea_Number,Address,City,State,ZIP,Acc_340B_Id,Mpb_Account_Class_Desc,Mck_Account_Class_Desc
BENNETT CORLEY,21230,CHRISTUS,2062,CHRISTUS HEALTH LA,122,CHRISTUS SPEC PHY PHS MPB,Active,SECONDARY,8545,8000|8545,FC0264224,800 E DAWSON ST STE 100,TYLER,TX,75701,DSH450102,PHS,PHS/340B Acct
MARY BERRESFORD,40822,MOUNT SINAI HEALTH SYSTEM,1694,BETH ISRAEL MEDICAL NY,2541,MT SI ICHAN/MSBI PHS MPB,Active,SECONDARY,8545,8000|8545,FT9895965,1468 MADISON AVE,NEW YORK,NY,10029,DSH330169,PHS,PHS Contract Pharmacy
MARY BERRESFORD,72254,GUNDERSEN CLNC,72254,GUNDERSEN CLNC,3058,GLMC WINONA PHS MPB,Active,SECONDARY,8545,8000|8545,FG8991855,1122 W HIGHWAY 61,WINONA,MN,55987,DSH520087DA,PHS,PHS/340B Acct
BENNETT CORLEY,72722,UNC HOSPITAL,72722,UNC HOSPITAL,3075,UNC HOSPITALS MPB,Active,SECONDARY,8545,8000|8545,AN3208065,101 MANNING DRIVE,CHAPEL HILL,NC,27514,0,GPO,GPO Acct.
BENNETT CORLEY,72778,NY PRESBYTERIAN HOSP,72778,NY PRESBYTERIAN HOSP,3164,NY WEILL CORN WACA34 MPB,Active,SECONDARY,8545,8000|8545,AN1865243,525 E 68TH ST,NEW YORK,NY,10065,DSH330101,WAC,WAC Acct.
MARY BERRESFORD,72702,UNIV OF KANSAS,72702,UNIV OF KANSAS,3180,OPTUM702/UNIV KS PHS MPB,Active,SECONDARY,8545,8000|8545,FB4247943,1050 PATROL RD,JEFFERSONVILLE,IN,47130,DSH170040,PHS,PHS Contract Pharmacy
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,3389,KAISER PHARM 673 MPB,Active,SECONDARY,8545,8000|8545,FK0870344,1 QUALITY DRIVE,VACAVILLE,CA,95688,0,GPO,GPO Acct.
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,3497,KAISER PERM ONCO 379 MPB,Active,SECONDARY,8545,8000|8545,FK0029719,905 MAPLE ST FL 3,REDWOOD CITY,CA,94063,0,GPO,GPO Acct.
BENNETT CORLEY,21207,ALLSPIRE,21207,ALLSPIRE,3626,JOHN MARSH PHS MPB,Active,SECONDARY,8545,8000|8545,BJ8798780,11110 MEDICAL CAMPUS RD STE 129,HAGERSTOWN,MD,21742,DSH210001A,PHS,PHS/340B Acct
BENNETT CORLEY,40080,BILLINGS CLINIC MT,40080,BILLINGS CLINIC MT,4024,BILLINGS CLN PHS MPB,Active,SECONDARY,8545,8000|8545,FB1709572,801 N 29TH ST,BILLINGS,MT,59101,DSH270004AY,PHS,PHS/340B Acct
KATY MCCASH,40461,PRISMA HEALTH,40461,PRISMA HEALTH,4319,PRISMAHL SENRCARE RX,Active,SECONDARY,8545,8000|8545,BP6126165,1308 LAUREL ST 2ND FL,COLUMBIA,SC,29201,0,GPO,GPO Acct.
BENNETT CORLEY,40848,UNIV OF TEXAS SW UNIV HOSP,40848,UNIV OF TEXAS SW UNIV HOSP,4487,UT SWMC SPC PHCY DAL MPB,Active,SECONDARY,8545,8000|8545,FU6551786,2929 N STEMMONS FRWY STE XA 1.2,DALLAS,TX,75390,0,GPO,GPO Acct.
KATY MCCASH,36574,TN ONCOLOGY,36574,TN ONCOLOGY,4741,TN ONCOL HOLLAND MPB,Active,SECONDARY,8545,8000|8545,FH3547811,2200 E 3RD ST STE 100,CHATTANOOGA,TN,37404,0,GPO,GPO Acct.
BENNETT CORLEY,72475,MASS GENERAL HOSP,72475,MASS GENERAL HOSP,4956,MGH MAIN PHCY WACA34 MPB,Active,SECONDARY,8545,8000|8545,AT9729433,55 FRUIT STREET,BOSTON,MA,2114,DSH220071,WAC,WAC Acct.
BENNETT CORLEY,72475,MASS GENERAL HOSP,72475,MASS GENERAL HOSP,4968,MGH YAWKEY 8 WACA34 MPB,Active,SECONDARY,8545,8000|8545,AT9729433,55 FRUIT STREET,BOSTON,MA,2114,DSH220071,WAC,WAC Acct.
BENNETT CORLEY,72475,MASS GENERAL HOSP,72475,MASS GENERAL HOSP,4985,MGH WLHM INF WACA34 MPB,Active,SECONDARY,8545,8000|8545,FM5375933,52 2ND AVE,WALTHAM,MA,2451,DSH220071,WAC,WAC Acct.
BENNETT CORLEY,40848,UNIV OF TEXAS SW UNIV HOSP,40848,UNIV OF TEXAS SW UNIV HOSP,5160,MD ANDERSON CNCR CTR MPB,Active,SECONDARY,8545,8000|8545,AU3354177,1515 HOLCOMBE BLVD #90,HOUSTON,TX,77030,0,GPO,GPO Acct.
BENNETT CORLEY,72475,MASS GENERAL HOSP,72475,MASS GENERAL HOSP,5172,MGH OUTPATIENT WACA34 MPB,Active,SECONDARY,8545,8000|8545,BG5301926,55 FRUIT STREET,BOSTON,MA,2114,DSH220071,WAC,WAC Acct.
KATY MCCASH,21373,TRINITY HEALTH,21373,TRINITY HEALTH,5329,COVENANT MED CTR MPB,Active,SECONDARY,8545,8000|8545,AS4031554,3421 W. 9TH STREET,WATERLOO,IA,50702,0,GPO,GPO Acct.
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,5752,KAISER  PALM DESERT MPB,Active,SECONDARY,8545,8000|8545,FK1494094,75-036 GERALD FORD DR,PALM DESERT,CA,92211,0,GPO,GPO Acct.
MARY BERRESFORD,72122,CHILDRENS HOSP ALABAMA,72122,CHILDRENS HOSP ALABAMA,5968,CHLDRNS HSP AL WACA34 MPB,Active,SECONDARY,8545,8000|8545,AC3473496,1600 7TH AVE S,BIRMINGHAM,AL,35233,PED013300-00,WAC,WAC Acct.
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,5977,WALG 16078/ST MEM PHS MPB,Active,SECONDARY,8545,8000|8545,FW3140908,205 8TH AVE,NEW YORK,NY,10011,DSH330285,PHS,PHS Contract Pharmacy
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,6212,UPMC WELLSBORO HOSP,Active,SECONDARY,8545,8000|8545,AS3477660,32-36 CENTRAL AVE,WELLSBORO,PA,16901,0,GPO,GPO Acct.
MARY BERRESFORD,21369,TENET HEALTHCARE,21369,TENET HEALTHCARE,6289,VHS CHILDRENS HSP MI MPB,Active,SECONDARY,8545,8000|8545,FC2397354,3901 BEAUBIEN BLVD.,DETROIT,MI,48201,0,GPO,GPO Acct.
KATY MCCASH,40414,OSF HEALTHCARE SYSTEM,40414,OSF HEALTHCARE SYSTEM,6349,OSF ST ANTHONY MED  MPB,Active,SECONDARY,8545,8000|8545,AS3884764,5666 E STATE ST,ROCKFORD,IL,61108,0,GPO,GPO Acct.
KATY MCCASH,72024,BALLAD,72024,BALLAD,6561,INDIAN PATH CO WACA34 MPB,Active,SECONDARY,8545,8000|8545,BI6020907,2000 BROOKSIDE DR,KINGSPORT,TN,37660,DSH440176,WAC,WAC Acct.
BENNETT CORLEY,72478,MAYO CLINIC,72478,MAYO CLINIC,6609,MCHS LACROSSE HSP MPB,Active,SECONDARY,8545,8000|8545,BF5791149,700 W AVE S,LA CROSSE,WI,54601,0,GPO,GPO Acct.
BENNETT CORLEY,73311,UNIV OF COLORADO,73311,UNIV OF COLORADO,7319,POWDER RIVER SURG CTR MPB,Active,SECONDARY,8545,8000|8545,FP9504261,906 W 6TH ST STE C,GILLETTE,WY,82716,0,GPO,GPO Acct.
KATY MCCASH,72448,LOYOLA UNIV MED CTR IL,72448,LOYOLA UNIV MED CTR IL,7785,LOYOLA UMC OP CTR PHS MPB,Active,SECONDARY,8545,8000|8545,FL9141994,2160 S 1ST AVE BLDG 150,MAYWOOD,IL,60153,DSH140276,PHS,PHS/340B Acct
BENNETT CORLEY,21207,ALLSPIRE,21207,ALLSPIRE,8014,ST CHRISTOPHER HOSP MPB,Active,SECONDARY,8545,8000|8545,FS9026407,160 E ERIE AVE,PHILADELPHIA,PA,19134,0,GPO,GPO Acct.
MARY BERRESFORD,72642,STORMONT VAIL,72642,STORMONT VAIL,8056,STORMONT VAIL WACA34 MPB,Active,SECONDARY,8545,8000|8545,AV1307897,1500 SW 10TH AVE,TOPEKA,KS,66604,DSH170086,WAC,WAC Acct.
MARY BERRESFORD,72608,SANFORD MED CENTER SD,72608,SANFORD MED CENTER SD,8280,SANFORD PHCY PHS MPB,Active,SECONDARY,8545,8000|8545,AB3795272,300 N 7TH ST,BISMARCK,ND,58501,DSH350015,PHS,PHS/340B Acct
KATY MCCASH,73456,WISCONSIN VALLEY HEALTH,73456,WISCONSIN VALLEY HEALTH,10225,MEMORIAL MED CTR MI MPB,Active,SECONDARY,8545,8000|8545,AM2739336,ONE ATKINSON DRIVE,LUDINGTON,MI,49431,0,GPO,GPO Acct.
KATY MCCASH,40252,HARRIS COUNTY,40252,HARRIS COUNTY,11293,BEN TAUB HOSP PHS MPB,Active,SECONDARY,8545,8000|8545,AR3354292,1504 TAUB LOOP,HOUSTON,TX,77030,DSH450289,PHS,PHS/340B Acct
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,11371,DS UPMC CHILDREN'S HOSP,Active,SECONDARY,8545,8000|8545,AC1694911,4401 PENN AVENUE,PITTSBURGH,PA,15224,0,GPO,GPO Acct.
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,11532,DS FORBES PHARMACY,Active,SECONDARY,8545,8000|8545,BF2636403,3501 FORBES AVENUE,PITTSBURGH,PA,15213,0,GPO,GPO Acct.
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,11677,KAISER PERM PHCY #961 MPB,Active,SECONDARY,8545,8000|8545,FK0235956,1650 LOS GAMOS DR FL 2,SAN RAFAEL,CA,94903,0,GPO,GPO Acct.
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,12015,DS UPMC MCKEESPORT,Active,SECONDARY,8545,8000|8545,AM1698147,1500 FIFTH AVENUE,MCKEESPORT,PA,15132,0,GPO,GPO Acct.
KATY MCCASH,2361,Angels Pharm PHS & Harmony Hlt,2361,HARMONY HEALTHCARE FL,12098,ANGELS PHCY I/HHC PHS,Active,SECONDARY,8545,8000|8545,FA4218409,259 E MICHIGAN ST,ORLANDO,FL,32806,STD336261,PHS,PHS Contract Pharmacy
BENNETT CORLEY,21207,ALLSPIRE,21207,ALLSPIRE,12734,ST CHRISTOPHR HSP PHS MPB,Active,SECONDARY,8545,8000|8545,FS9026407,160 E ERIE AVENUE,PHILADELPHIA,PA,19134,PED393307-00,PHS,PHS/340B Acct
MARY BERRESFORD,72109,CENTRACARE HEALTH SYS MN,72109,CENTRACARE HEALTH SYS MN,12918,CENTRACARE LP GPO MPB,Active,SECONDARY,8545,8000|8545,BH1026865,50 CENTRACARE DR,LONG PRAIRIE,MN,56347,0,GPO,GPO Acct.
MARY BERRESFORD,72109,CENTRACARE HEALTH SYS MN,72109,CENTRACARE HEALTH SYS MN,12920,CENTRACARE LP PHS MPB,Active,SECONDARY,8545,8000|8545,BH1026865,50 CENTRACARE DR,LONG PRAIRIE,MN,56347,CAH241326-00,PHS,PHS/340B Acct
MARY BERRESFORD,755,HENRY FORD HOSPITAL MI,755,HENRY FORD HOSPITAL MI,13123,HNRY FRD PHCY/HFH PHS MPB,Active,SECONDARY,8545,8000|8545,FH0590869,1191 SOUTH BLVD E,ROCHESTER HILLS,MI,48307,DSH230053,PHS,PHS/340B Acct
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,13357,DS UPMC NORTHWEST,Active,SECONDARY,8545,8000|8545,BN3035107,100 FAIRFIELD DRIVE,SENECA,PA,16346,0,GPO,GPO Acct.
MARY BERRESFORD,72362,KINGMAN REGIONAL,72362,KINGMAN REGIONAL,14763,KINGMAN RMC PHS MPB,Active,SECONDARY,8545,8000|8545,AK2435469,3269 N STOCKTON HILL RD,KINGMAN,AZ,86409,SCH030055-00,PHS,PHS/340B Acct
KATY MCCASH,70000,FRANCISCAN MSNR OF OUR LADY,70000,FRANCISCAN MSNR OF OUR LADY,14794,ST DOMINIC-JACKSN PHS MPB,Active,SECONDARY,8545,8000|8545,AS0230792,969 LAKELAND DRIVE,JACKSON,MS,39216,DSH250048,PHS,PHS/340B Acct
KATY MCCASH,70000,FRANCISCAN MSNR OF OUR LADY,70000,FRANCISCAN MSNR OF OUR LADY,14846,OLOL RMC ONCOL PHS MPB,Active,SECONDARY,8545,8000|8545,FO2601741,4801 AMBASSADOR CAFFERY PKWY,LAFAYETTE,LA,70508,DSH190102,PHS,PHS/340B Acct
KATY MCCASH,70000,FRANCISCAN MSNR OF OUR LADY,70000,FRANCISCAN MSNR OF OUR LADY,14868,ST FRANCIS MEDCTR PHS MPB,Active,SECONDARY,8545,8000|8545,AS3398460,309 JACKSON ST,MONROE,LA,71201,DSH190125,PHS,PHS/340B Acct
KATY MCCASH,70000,FRANCISCAN MSNR OF OUR LADY,70000,FRANCISCAN MSNR OF OUR LADY,14922,ST DOMINIC MAIN PHCY MPB,Active,SECONDARY,8545,8000|8545,AS0230792,969 LAKELAND DR,JACKSON,MS,39216,0,GPO,GPO Acct.
KATY MCCASH,70000,FRANCISCAN MSNR OF OUR LADY,70000,FRANCISCAN MSNR OF OUR LADY,14959,LAKE CHLDRNS PHCY PHS MPB,Active,SECONDARY,8545,8000|8545,FO8384163,8300 CONSTANTIN BLVD,BATON ROUGE,LA,70809,DSH190064,PHS,PHS/340B Acct
KATY MCCASH,70000,FRANCISCAN MSNR OF OUR LADY,70000,FRANCISCAN MSNR OF OUR LADY,14980,OLOL CHLD OP INF PHS MPB,Active,SECONDARY,8545,8000|8545,FO8782799,8300 CONSTANTIN BLVD,BATON ROUGE,LA,70809,DSH190064,PHS,PHS/340B Acct
MARY BERRESFORD,910,BARRIO COMPREHENSIVE HC TX,910,BARRIO COMPREHENSIVE HC TX,15007,BIOPLUSSPC/BCFHCC PHS,Active,SECONDARY,8545,8000|8545,BP1754387,376 NORTHLAKE BLVD,ALTAMONTE SPRINGS,FL,32701,CH062360,PHS,PHS Contract Pharmacy
MARY BERRESFORD,910,BARRIO COMPREHENSIVE HC TX,910,BARRIO COMPREHENSIVE HC TX,15012,RIVERMED/BCFHCC PHS,Active,SECONDARY,8545,8000|8545,FR5154959,4752 RESEARCH DR,SAN ANTONIO,TX,78240,CH062360,PHS,PHS Contract Pharmacy
KATY MCCASH,70000,FRANCISCAN MSNR OF OUR LADY,70000,FRANCISCAN MSNR OF OUR LADY,15132,RXONE MEDPLAZA GPO MPB,Active,SECONDARY,8545,8000|8545,FF7256591,7777 HENNESSY BLVD STE 114,BATON ROUGE,LA,70808,0,GPO,GPO Acct.
BENNETT CORLEY,72225,DRISCOLL CHILDRENS HOSP,72225,DRISCOLL CHILDRENS HOSP,15160,DRISCOLL CH OP PHS MPB,Active,SECONDARY,8545,8000|8545,AD0894952,3533 S ALAMEDA ST,CORPUS CHRISTI,TX,78411,PED453301-00,PHS,PHS/340B Acct
BENNETT CORLEY,72225,DRISCOLL CHILDRENS HOSP,72225,DRISCOLL CHILDRENS HOSP,15162,DRISCOLL CH OP WACA34 MPB,Active,SECONDARY,8545,8000|8545,AD0894952,3533 S ALAMEDA ST,CORPUS CHRISTI,TX,78411,PED453301-00,WAC,WAC Acct.
KATY MCCASH,70000,FRANCISCAN MSNR OF OUR LADY,70000,FRANCISCAN MSNR OF OUR LADY,15463,OLOL CHLD HOSP GPO MPB,Active,SECONDARY,8545,8000|8545,FO8782799,8300 CONSTANTIN BLVD,BATON ROUGE,LA,70809,0,GPO,GPO Acct.
MARY BERRESFORD,21373,TRINITY HEALTH,2678,ST FRANCIS HOSP MD CTR CT,15538,ST FRANCIS HOSP PHS MPB,Active,SECONDARY,8545,8000|8545,AS1559650,114 WOODLAND STREET,HARTFORD,CT,6105,DSH070002,PHS,PHS/340B Acct
KATY MCCASH,70000,FRANCISCAN MSNR OF OUR LADY,70000,FRANCISCAN MSNR OF OUR LADY,15704,ST DOM JCK ME WACA34 MPB,Active,SECONDARY,8545,8000|8545,AS0230792,969 LAKELAND DRIVE,JACKSON,MS,39216,DSH250048,WAC,WAC Acct.
KATY MCCASH,70000,FRANCISCAN MSNR OF OUR LADY,70000,FRANCISCAN MSNR OF OUR LADY,15725,OLOL CHLD HOSP WACA34 MPB,Active,SECONDARY,8545,8000|8545,FO8782799,8300 CONSTANTIN BLVD,BATON ROUGE,LA,70809,DSH190064,WAC,WAC Acct.
KATY MCCASH,1052,CURANT HEALTH INC FL,1052,CURANT HEALTH INC FL,16250,CURANTFL/OCCNRWII32114PHS,Active,SECONDARY,8545,8000|8545,FH0133657,11001 ROOSEVELT BLVD#1400,ST PETERSBURG,FL,33716,RWII32114,PHS,PHS Contract Pharmacy
MARY BERRESFORD,72642,STORMONT VAIL,72642,STORMONT VAIL,16357,STORMONT VAIL IFC PHS MPB,Active,SECONDARY,8545,8000|8545,AV1307897,1500 SW 10TH AVE,TOPEKA,KS,66604,DSH170086J,PHS,PHS/340B Acct
MARY BERRESFORD,72642,STORMONT VAIL,72642,STORMONT VAIL,16366,STORMONT VAIL CC PHS MPB,Active,SECONDARY,8545,8000|8545,AV1307897,1500 SW 10TH AVE,TOPEKA,KS,66604,DSH170086H,PHS,PHS/340B Acct
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,16979,KAISER PERM TYSONS MPB,Active,SECONDARY,8545,8000|8545,FK3348124,8008 WESTPARK DR,MC LEAN,VA,22102,0,GPO,GPO Acct.
MARY BERRESFORD,932,UNIV OF NEW MEXICO HOSPITAL,932,UNIV OF NEW MEXICO HOSPITAL,17561,UNM HOSPITAL MPB,Active,SECONDARY,8545,8000|8545,AB7003469,2211 LOMAS BLVD NE,ALBUQUERQUE,NM,87106,0,GPO,GPO Acct.
KATY MCCASH,40461,PRISMA HEALTH,40461,PRISMA HEALTH,17631,CNCR CTRS CAROLINAS MPB,Active,SECONDARY,8545,8000|8545,FG7327439,900 WEST FARIS ROAD 2 FL,GREENVILLE,SC,29605,0,GPO,GPO Acct.
MARY BERRESFORD,72608,SANFORD MED CENTER SD,72608,SANFORD MED CENTER SD,18272,SANFORD PHCY WACA34 MPB,Active,SECONDARY,8545,8000|8545,AB3795272,300 N 7TH ST,BISMARCK,ND,58501,DSH350015,WAC,WAC Acct.
BENNETT CORLEY,21207,ALLSPIRE,21207,ALLSPIRE,18579,ST CHRSTHR HSP WACA34 MPB,Active,SECONDARY,8545,8000|8545,FS9026407,160 E ERIE AVENUE,PHILADELPHIA,PA,19134,PED393307-00,WAC,WAC Acct.
BENNETT CORLEY,902,GEISINGER MEDICAL CENTER PA,902,GEISINGER MEDICAL CENTER PA,18751,CVS CRMRK2921/COMM MC PHS,Active,SECONDARY,8545,8000|8545,BS6907224,105 MALL BOULEVARD,MONROEVILLE,PA,15146,RRC390001-00,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72859,OREGON HLTH SCIENCE CTR,72859,OREGON HLTH SCIENCE CTR,19201,OPTUM705 AL/OHSU PHS MPB,Active,SECONDARY,8545,8000|8545,BM8283373,1100 LEE BRANCH LN,BIRMINGHAM,AL,35242,DSH380009,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72859,OREGON HLTH SCIENCE CTR,72859,OREGON HLTH SCIENCE CTR,19203,OPTUM702 IN/OHSU PHS MPB,Active,SECONDARY,8545,8000|8545,FB4247943,1050 PATROL RD,JEFFERSONVILLE,IN,47130,DSH380009,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72859,OREGON HLTH SCIENCE CTR,72859,OREGON HLTH SCIENCE CTR,20367,OPTUM705 MS/OHSU PHS MPB,Active,SECONDARY,8545,8000|8545,BM8546989,3539 BLUECUTT RD,COLUMBUS,MS,39705,DSH380009,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72859,OREGON HLTH SCIENCE CTR,72859,OREGON HLTH SCIENCE CTR,20369,OPTUM707 CA/OHSU PHS MPB,Active,SECONDARY,8545,8000|8545,FM5353735,4900 RIVERGRADE RD STE E110,IRWINDALE,CA,91706,DSH380009,PHS,PHS Contract Pharmacy
MARY BERRESFORD,2601,FAITH HEALTHCARE INC KY,2601,FAITH HEALTHCARE INC KY,20795,NANCY PHCY/COMM CARE  PHS,Active,SECONDARY,8545,8000|8545,FN0189503,9919 W HIGHWAY 80 #100,NANCY,KY,42544,FQHCLA422A,PHS,PHS Contract Pharmacy
KATY MCCASH,40025,APPALACHIAN NORTON,2932,APPALACHIAN REG HLTH KY,21053,WHITESBURG ARH PCY    PHS,Active,SECONDARY,8545,8000|8545,AW3036250,240 HOSPITAL ROAD,WHITESBURG,KY,41858,DSH180002,PHS,PHS/340B Acct
BENNETT CORLEY,72952,PROVIDENCE HOSP NW,72954,PROVIDENCE HLTH SYS WA,22045,CAREMARK NJ SP/PRVHFH PHS,Active,SECONDARY,8545,8000|8545,FC0275304,180 PASSAIC AVE,FAIRFIELD,NJ,7004,DSH500077,PHS,PHS Contract Pharmacy
KATY MCCASH,2542,OU MEDICAL CENTER OK,2542,OU MEDICAL CENTER OK,23324,CYST FIB/OU MC PHS MPB,Active,SECONDARY,8545,8000|8545,FC6609107,10530 JOHN W ELLIOTT DR STE 200,FRISCO,TX,75033,DSH370093,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72116,CHCA - BOSTON CHILDRENS,72116,CHCA - BOSTON CHILDRENS,25109,BOSTON CHILDREN PHCY MPB,Active,SECONDARY,8545,8000|8545,FB0804585,283 LONGWOOD AVE,BOSTON,MA,2115,0,GPO,GPO Acct.
BENNETT CORLEY,2501,UNIVERSITY OF VIRGINIA MED CTR,2501,UNIVERSITY OF VIRGINIA MED CTR,25116,ACRDO WRND/UVMC PHS MPB,Active,SECONDARY,8545,8000|8545,BA9505554,3000 ERICSSON DR STE 100,WARRENDALE,PA,15086,DSH490009,PHS,PHS Contract Pharmacy
BENNETT CORLEY,2501,UNIVERSITY OF VIRGINIA MED CTR,2501,UNIVERSITY OF VIRGINIA MED CTR,25119,ACRDO TEMP/UVMC PHS MPB,Active,SECONDARY,8545,8000|8545,BA9437042,2040 W RIO SALADO PKWY STE 101B,TEMPE,AZ,85281,DSH490009,PHS,PHS Contract Pharmacy
BENNETT CORLEY,2501,UNIVERSITY OF VIRGINIA MED CTR,2501,UNIVERSITY OF VIRGINIA MED CTR,25124,ACRDO ORLA/UVMC PHS MPB,Active,SECONDARY,8545,8000|8545,FA4214576,6272 LEE VISTA BLVD STE 100,ORLANDO,FL,32822,DSH490009,PHS,PHS Contract Pharmacy
BENNETT CORLEY,2501,UNIVERSITY OF VIRGINIA MED CTR,2501,UNIVERSITY OF VIRGINIA MED CTR,25127,ACRDO NWCST/UVMC PHS MPB,Active,SECONDARY,8545,8000|8545,FA5306128,2 BOULDEN CIR STE 1,NEW CASTLE,DE,19720,DSH490009,PHS,PHS Contract Pharmacy
BENNETT CORLEY,2501,UNIVERSITY OF VIRGINIA MED CTR,2501,UNIVERSITY OF VIRGINIA MED CTR,25131,ACRDO MEMP/UVMC PHS MPB,Active,SECONDARY,8545,8000|8545,BA9451167,1620 CENTURY CTR PKWY #109,MEMPHIS,TN,38134,DSH490009,PHS,PHS Contract Pharmacy
BENNETT CORLEY,2501,UNIVERSITY OF VIRGINIA MED CTR,2501,UNIVERSITY OF VIRGINIA MED CTR,25133,UVA SPECIALTY PHY PHS MPB,Active,SECONDARY,8545,8000|8545,FU6777722,1725 DISCOVERY DR STE 200,CHARLOTTESVILLE,VA,22911,DSH490009,PHS,PHS/340B Acct
